text,amount,date,label
Landlord,1940.38,17:32.5,Rent
Hotel #6555,13.76,17:32.5,Travel
Duty Free #8597,70.16,17:32.5,Travel
Nike,197.55,17:32.5,Shopping
Dentist #3660,119.74,17:32.5,Health
Vending Machine,47.97,17:32.5,Food & Drink
Gas Station,75.8,17:32.5,Transport
Vending Machine,31.01,17:32.5,Food & Drink
Dunkin,43.74,17:32.5,Food & Drink
Netflix Sub #4044,18.5,17:32.5,Entertainment
Payroll,3269.46,17:32.5,Salary
Rent Payment #1808,2906.19,17:32.5,Rent
Booking.com,82.64,17:32.5,Travel
Uber,109.14,17:32.5,Transport
United,77.41,17:32.5,Travel
H&M #788,64.32,17:32.5,Shopping
Payroll,2759.44,17:32.5,Salary
Property Mgmt #8996,1332.85,17:32.5,Rent
Airbnb #4901,77.58,17:32.5,Travel
Payroll #4511,2854.35,17:32.5,Salary
Duty Free #7424,99.84,17:32.5,Travel
MTA Subway,109.42,17:32.5,Transport
Ticketmaster,98.65,17:32.5,Entertainment
Landlord #5040,2873.48,17:32.5,Rent
Bar XYZ,13.09,17:32.5,Food & Drink
Concert #8699,128.27,17:32.5,Entertainment
Planet Fitness #3629,15.67,17:32.5,Health
Planet Fitness #4539,142.83,17:32.5,Health
Walgreens #1035,154.01,17:32.5,Health
Expedia #7435,50.85,17:32.5,Travel
AT&T,61.72,17:32.5,Utilities
Nike #1079,83.93,17:32.5,Shopping
Chipotle #3893,24.86,17:32.5,Food & Drink
Payroll,4725.07,17:32.5,Salary
Payroll #6966,2621.97,17:32.5,Salary
Gas Station #9772,33.73,17:32.5,Transport
Hospital #5011,17.06,17:32.5,Health
Doctor Visit,47.76,17:32.5,Health
Vitamin Shop,84.69,17:32.5,Health
Train Ticket #7114,48.31,17:32.5,Transport
MTA Subway #2439,184.54,17:32.5,Transport
Train Ticket,49.07,17:32.5,Transport
Bowling #1705,44.42,17:32.5,Entertainment
Walmart,194.81,17:32.5,Shopping
Dentist,172.37,17:32.5,Health
Water Bill,54.02,17:32.5,Utilities
Walgreens #5049,117.21,17:32.5,Health
HOA Fees,1676.53,17:32.5,Rent
Chipotle #7487,24.63,17:32.5,Food & Drink
Rent Payment #8712,1739.1,17:32.5,Rent
Property Mgmt #6992,1813.09,17:32.5,Rent
Dentist #7287,130.66,17:32.5,Health
Walmart,136.07,17:32.5,Shopping
Bus Fare #7415,134.97,17:32.5,Transport
Lime Scooter #3450,95.97,17:32.5,Transport
Aldi #1934,198.83,17:32.5,Groceries
Landlord,2570.19,17:32.5,Rent
Parking #4686,62.19,17:32.5,Transport
Steam #1490,82.84,17:32.5,Entertainment
Dunkin,6.72,17:32.5,Food & Drink
Butcher #4292,24.53,17:32.5,Groceries
Verizon,123.53,17:32.5,Utilities
Landlord #1440,1181.68,17:32.5,Rent
Bowling,97.81,17:32.5,Entertainment
Fruit Stand #9302,165.75,17:32.5,Groceries
Fruit Stand,96.98,17:32.5,Groceries
Employer Inc #308,2609.44,17:32.5,Salary
Ticketmaster,34.96,17:32.5,Entertainment
Amtrak #9506,174.32,17:32.5,Travel
Direct Deposit,2243.81,17:32.5,Salary
Direct Deposit #432,4480.18,17:32.5,Salary
Electric Co #314,189.67,17:32.5,Utilities
Mortgage #2438,2275.61,17:32.5,Rent
AT&T,174.86,17:32.5,Utilities
Amtrak #1474,186.3,17:32.5,Travel
Dunkin #9704,7.99,17:32.5,Food & Drink
Costco #7904,32.78,17:32.5,Groceries
Spotify,143.37,17:32.5,Utilities
Booking.com,144.37,17:32.5,Travel
PlayStation,12.56,17:32.5,Entertainment
Upwork #2366,4566.64,17:32.5,Salary
Delta #4473,199.43,17:32.5,Travel
Bakery,76.7,17:32.5,Groceries
Sushi Place #3940,26.41,17:32.5,Food & Drink
Costco #5398,31.89,17:32.5,Groceries
HOA Fees,2467.85,17:32.5,Rent
Burger King,38.9,17:32.5,Food & Drink
Concert,111.13,17:32.5,Entertainment
Netflix Sub,168.74,17:32.5,Entertainment
CVS #1182,25.89,17:32.5,Health
Verizon,115.68,17:32.5,Utilities
Rent Payment #8825,2164.42,17:32.5,Rent
Netflix #6392,45.1,17:32.5,Utilities
Employer Inc #8093,4342.8,17:32.5,Salary
Bookstore #7484,151.77,17:32.5,Shopping
Exxon #4240,179.48,17:32.5,Transport
H&M,115.53,17:32.5,Shopping
Water Bill,64.05,17:32.5,Utilities
Apple Store #4325,28.72,17:32.5,Shopping
Local Cafe,32.23,17:32.5,Food & Drink
Video Game,86.85,17:32.5,Entertainment
Bar XYZ #631,28.45,17:32.5,Food & Drink
Steam #6961,178.88,17:32.5,Entertainment
Walmart,37.28,17:32.5,Shopping
Best Buy,162.45,17:32.5,Shopping
Amtrak,117.43,17:32.5,Travel
Steam #2952,186.4,17:32.5,Entertainment
Property Mgmt #7637,1299.14,17:32.5,Rent
Upwork #5849,4091.24,17:32.5,Salary
Concert,61.21,17:32.5,Entertainment
Spotify #7735,124.61,17:32.5,Utilities
Hospital,59.84,17:32.5,Health
Bakery #3813,38.88,17:32.5,Groceries
Bakery #624,10.11,17:32.5,Groceries
Dentist,57.24,17:32.5,Health
Costco #3172,36.98,17:32.5,Groceries
Delta #5657,156.54,17:32.5,Travel
Payroll #3485,2386.47,17:32.5,Salary
Employer Inc #4382,3929.43,17:32.5,Salary
Rent Payment,2126.73,17:32.5,Rent
Museum,36.57,17:32.5,Entertainment
Resort,199.21,17:32.5,Travel
Target #1799,41.29,17:32.5,Shopping
Amtrak #4159,124.13,17:32.5,Travel
Lyft,182.18,17:32.5,Transport
Vending Machine #1663,25.81,17:32.5,Food & Drink
Zara #7753,162.02,17:32.5,Shopping
Amazon #4378,195.88,17:32.5,Shopping
Amazon #377,81.41,17:32.5,Shopping
Steam,79.05,17:32.5,Entertainment
Verizon,199.47,17:32.5,Utilities
Dentist #6926,124.82,17:32.5,Health
Pharmacy Co-pay #8486,42.85,17:32.5,Health
Train Ticket #8629,192.12,17:32.5,Transport
Hulu #8582,137.29,17:32.5,Utilities
Employer Inc #6956,2973.79,17:32.5,Salary
Payroll,4851.63,17:32.5,Salary
Safeway #4552,84.62,17:32.5,Groceries
Train Ticket,188.19,17:32.5,Transport
CVS #8913,44.91,17:32.5,Health
Ticketmaster #3685,61.81,17:32.5,Entertainment
Concert,63.01,17:32.5,Entertainment
Aldi,48.63,17:32.5,Groceries
Internet Bill #519,196.59,17:32.5,Utilities
Spotify,12.72,17:32.5,Utilities
Sushi Place,19.09,17:32.5,Food & Drink
United,188.96,17:32.5,Travel
Car Rental,50.78,17:32.5,Travel
Bookstore,67.61,17:32.5,Shopping
Property Mgmt,2628.86,17:32.5,Rent
Airbnb #4776,75.74,17:32.5,Travel
Bowling,189.66,17:32.5,Entertainment
Rent Payment #2487,2040.61,17:32.5,Rent
CVS #4503,90.62,17:32.5,Health
Train Ticket,25.2,17:32.5,Transport
Amtrak,139.81,17:32.5,Travel
Hospital #3279,84.82,17:32.5,Health
Lyft,131.74,17:32.5,Transport
Vending Machine #5109,8.83,17:32.5,Food & Drink
Hospital #6285,154.98,17:32.5,Health
Vending Machine #7618,36.02,17:32.5,Food & Drink
Pharmacy #3816,109.92,17:32.5,Shopping
Bowling #8601,170.74,17:32.5,Entertainment
Costco,84.5,17:32.5,Groceries
Amazon,116.82,17:32.5,Shopping
Chipotle,41.25,17:32.5,Food & Drink
Spotify Premium,31.68,17:32.5,Entertainment
Zara #4604,175.9,17:32.5,Shopping
Resort #4482,32.7,17:32.5,Travel
Trash Pickup #6428,73.07,17:32.5,Utilities
Trash Pickup #7720,198.92,17:32.5,Utilities
Stripe Payout #9099,2585.94,17:32.5,Salary
Vitamin Shop #5719,38.05,17:32.5,Health
Ticketmaster,23.33,17:32.5,Entertainment
Shell #9753,86.17,17:32.5,Transport
Shell #8263,164.86,17:32.5,Transport
Netflix,181.17,17:32.5,Utilities
Payroll #1685,3477.88,17:32.5,Salary
Local Market #6874,25.82,17:32.5,Groceries
Property Mgmt #3763,1952.78,17:32.5,Rent
Pharmacy Co-pay #7761,187.95,17:32.5,Health
Aldi #7910,161.78,17:32.5,Groceries
Employer Inc #3261,4302.29,17:32.5,Salary
Ticketmaster,191.73,17:32.5,Entertainment
Direct Deposit,3243.99,17:32.5,Salary
Trash Pickup,109.05,17:32.5,Utilities
Water Bill,36.8,17:32.5,Utilities
Mortgage,1298.35,17:32.5,Rent
Amtrak #5295,15.57,17:32.5,Travel
Uber #7002,135.82,17:32.5,Transport
Amazon,116.1,17:32.5,Shopping
Lime Scooter #822,94.63,17:32.5,Transport
Netflix Sub,10.32,17:32.5,Entertainment
Nike,173.51,17:32.5,Shopping
Rent Payment,2176.55,17:32.5,Rent
Property Mgmt,1899.67,17:32.5,Rent
Direct Deposit,4310.85,17:32.5,Salary
Costco,182.61,17:32.5,Groceries
Employer Inc #2933,2575.19,17:32.5,Salary
Netflix Sub #7393,28.71,17:32.5,Entertainment
McDonalds,21.18,17:32.5,Food & Drink
Amazon,104.67,17:32.5,Shopping
Whole Foods,187.89,17:32.5,Groceries
HOA Fees,1921.08,17:32.5,Rent
Uber #6691,47.55,17:32.5,Transport
United #4714,171.97,17:32.5,Travel
Zara,188.95,17:32.5,Shopping
Direct Deposit,4675.7,17:32.5,Salary
Vending Machine,47.67,17:32.5,Food & Drink
Trader Joes,167.37,17:32.5,Groceries
Airbnb,93.84,17:32.5,Travel
HOA Fees #5885,2303.18,17:32.5,Rent
Stripe Payout,2914.88,17:32.5,Salary
CVS,130.92,17:32.5,Health
HOA Fees,2313.74,17:32.5,Rent
MTA Subway #1393,76.99,17:32.5,Transport
Payroll #6461,4009.69,17:32.5,Salary
Booking.com,57.22,17:32.5,Travel
Planet Fitness #2096,54.79,17:32.5,Health
Whole Foods,50.3,17:32.5,Groceries
MTA Subway #5302,110.61,17:32.5,Transport
Uber #6539,21.75,17:32.5,Transport
Local Cafe #8607,32.99,17:32.5,Food & Drink
Yoga Class #2981,198.7,17:32.5,Health
Nike #1915,128.37,17:32.5,Shopping
Kroger,194.09,17:32.5,Groceries
Direct Deposit #9973,3646.83,17:32.5,Salary
Internet Bill,141.58,17:32.5,Utilities
Rent Payment,1198.75,17:32.5,Rent
Direct Deposit,3322.65,17:32.5,Salary
AMC Theaters,103.9,17:32.5,Entertainment
HOA Fees #7254,2646.68,17:32.5,Rent
Rent Payment,2585.87,17:32.5,Rent
Bus Fare #2626,153.47,17:32.5,Transport
Doctor Visit,145.16,17:32.5,Health
Planet Fitness,77.32,17:32.5,Health
Car Rental #7709,11.65,17:32.5,Travel
Steam,147.19,17:32.5,Entertainment
Vitamin Shop,148.29,17:32.5,Health
Payroll #589,3835.01,17:32.5,Salary
Trash Pickup #5454,74.75,17:32.5,Utilities
Spotify,183.28,17:32.5,Utilities
Safeway,52.24,17:32.5,Groceries
Internet Bill #3412,180.58,17:32.5,Utilities
Whole Foods,55.69,17:32.5,Groceries
Property Mgmt,1447.15,17:32.5,Rent
Museum,31.9,17:32.5,Entertainment
Airbnb,27.36,17:32.5,Travel
Stripe Payout,3954.33,17:32.5,Salary
Chipotle,27.97,17:32.5,Food & Drink
Apple Store,186.04,17:32.5,Shopping
McDonalds #5661,46.03,17:32.5,Food & Drink
Planet Fitness,75.38,17:32.5,Health
Shell #7775,89.88,17:32.5,Transport
H&M,15.59,17:32.5,Shopping
Butcher #2606,162.42,17:32.5,Groceries
United #5311,72.82,17:32.5,Travel
Best Buy #7087,166.64,17:32.5,Shopping
Bakery,89.75,17:32.5,Groceries
Employer Inc #6725,3579.53,17:32.5,Salary
Dunkin,45.05,17:32.5,Food & Drink
Concert #3220,24.15,17:32.5,Entertainment
Kroger,29.38,17:32.5,Groceries
Payroll #6798,2999.37,17:32.5,Salary
Local Cafe #1044,5.57,17:32.5,Food & Drink
Water Bill,55.59,17:32.5,Utilities
Spotify #8537,188.97,17:32.5,Utilities
Bowling #6408,114.97,17:32.5,Entertainment
Hospital #3022,107.59,17:32.5,Health
Netflix,134.13,17:32.5,Utilities
Museum #7485,79.54,17:32.5,Entertainment
Netflix #3612,185.52,17:32.5,Utilities
AMC Theaters #1595,177.08,17:32.5,Entertainment
Airbnb,140.91,17:32.5,Travel
Resort #6583,18.36,17:32.5,Travel
Parking #4968,20.68,17:32.5,Transport
Netflix,11.81,17:32.5,Utilities
Walgreens,140.9,17:32.5,Health
Doctor Visit,166.98,17:32.5,Health
Vitamin Shop #4604,177.39,17:32.5,Health
Employer Inc,3793.79,17:32.5,Salary
Delta #2557,134.08,17:32.5,Travel
Yoga Class #4005,170.69,17:32.5,Health
Parking #517,27.12,17:32.5,Transport
Uber,84.29,17:32.5,Transport
Burger King #3811,7.17,17:32.5,Food & Drink
Lime Scooter #5799,134.08,17:32.5,Transport
AMC Theaters #482,181.99,17:32.5,Entertainment
Rent Payment,1515.33,17:32.5,Rent
Upwork,2507.58,17:32.5,Salary
Bowling #3673,63.45,17:32.5,Entertainment
Bakery #4199,39.05,17:32.5,Groceries
Hospital #5482,174.45,17:32.5,Health
Amtrak,25.74,17:32.5,Travel
Starbucks #9988,8.56,17:32.5,Food & Drink
Target,38.14,17:32.5,Shopping
Landlord,1505.84,17:32.5,Rent
Duty Free #5969,83.9,17:32.5,Travel
Trader Joes,125.2,17:32.5,Groceries
Resort,19.44,17:32.5,Travel
Water Bill,21.42,17:32.5,Utilities
Starbucks #2496,18.13,17:32.5,Food & Drink
Car Rental #3955,35.54,17:32.5,Travel
Whole Foods,105.65,17:32.5,Groceries
Expedia,117.1,17:32.5,Travel
Duty Free,84.79,17:32.5,Travel
Rent Payment,2056.91,17:32.5,Rent
Rent Payment,2778.63,17:32.5,Rent
Landlord,2641.9,17:32.5,Rent
Gas Station,24.61,17:32.5,Transport
Doctor Visit,70.26,17:32.5,Health
Direct Deposit,4816.42,17:32.5,Salary
Bus Fare #2320,186.35,17:32.5,Transport
Best Buy,24.32,17:32.5,Shopping
Internet Bill,63.63,17:32.5,Utilities
Starbucks #5912,19.67,17:32.5,Food & Drink
Electric Co #4094,24.5,17:32.5,Utilities
Gym Membership,95.81,17:32.5,Health
Ticketmaster,93.23,17:32.5,Entertainment
Netflix #5529,152.75,17:32.5,Utilities
Verizon,188.41,17:32.5,Utilities
Starbucks #8294,18,17:32.5,Food & Drink
Parking #299,90.11,17:32.5,Transport
Rent Payment #1926,1059.19,17:32.5,Rent
Train Ticket #5095,24.51,17:32.5,Transport
Delta,61.19,17:32.5,Travel
Employer Inc,4485.7,17:32.5,Salary
Pharmacy,142.09,17:32.5,Shopping
Payroll,4202.57,17:32.5,Salary
Amtrak #8283,188.66,17:32.5,Travel
Starbucks,25.74,17:32.5,Food & Drink
Upwork,4567.94,17:32.5,Salary
Zara,191.57,17:32.5,Shopping
Butcher #3617,101.95,17:32.5,Groceries
Landlord,1587.45,17:32.5,Rent
Parking,124.68,17:32.5,Transport
CVS,59.8,17:32.5,Health
Property Mgmt #6220,1193.75,17:32.5,Rent
Gym Membership #8306,115.07,17:32.5,Health
Uber,196.7,17:32.5,Transport
Airbnb #3193,82.03,17:32.5,Travel
Stripe Payout,2776.3,17:32.5,Salary
Delta,88.74,17:32.5,Travel
Lime Scooter #4275,107.97,17:32.5,Transport
Direct Deposit #5941,4222.11,17:32.5,Salary
Uber #5965,162.28,17:32.5,Transport
Uber #5651,36.29,17:32.5,Transport
Walgreens #1436,82.7,17:32.5,Health
Pharmacy,52.29,17:32.5,Shopping
Walmart,166.09,17:32.5,Shopping
Ticketmaster,33.62,17:32.5,Entertainment
Pizza Hut,10.55,17:32.5,Food & Drink
Sushi Place,41.34,17:32.5,Food & Drink
Payroll,4631.06,17:32.5,Salary
Upwork #7574,2472.56,17:32.5,Salary
Hulu #1520,28.49,17:32.5,Utilities
HOA Fees,1968.31,17:32.5,Rent
Amtrak #9358,164.54,17:32.5,Travel
CVS #553,66.83,17:32.5,Health
United #8794,147.2,17:32.5,Travel
H&M,185.18,17:32.5,Shopping
Property Mgmt,2785.84,17:32.5,Rent
Vending Machine,19.26,17:32.5,Food & Drink
Burger King,49.9,17:32.5,Food & Drink
Upwork #816,4994.43,17:32.5,Salary
PlayStation,113.95,17:32.5,Entertainment
Employer Inc,2604.37,17:32.5,Salary
Hotel #774,83.04,17:32.5,Travel
Pharmacy Co-pay,159.85,17:32.5,Health
Pharmacy Co-pay,141.72,17:32.5,Health
Exxon,170.6,17:32.5,Transport
Chipotle #5312,28.68,17:32.5,Food & Drink
Uber #4260,29.93,17:32.5,Transport
CVS #916,176.24,17:32.5,Health
Target,52.12,17:32.5,Shopping
Aldi #8717,169.83,17:32.5,Groceries
Hulu #617,151.95,17:32.5,Utilities
Delta #218,58.63,17:32.5,Travel
Spotify Premium,188.67,17:32.5,Entertainment
Vitamin Shop,180.1,17:32.5,Health
Vitamin Shop #8173,24.09,17:32.5,Health
ConEd,84.3,17:32.5,Utilities
Sushi Place #9730,16.46,17:32.5,Food & Drink
Netflix #1851,144.18,17:32.5,Utilities
Dentist #8727,73.74,17:32.5,Health
Sushi Place,10.88,17:32.5,Food & Drink
MTA Subway,176.77,17:32.5,Transport
Nike #703,149.82,17:32.5,Shopping
PlayStation #6701,14.92,17:32.5,Entertainment
Delta,39.99,17:32.5,Travel
Zara #336,77.07,17:32.5,Shopping
Netflix Sub,52.89,17:32.5,Entertainment
United,184.93,17:32.5,Travel
Netflix #8158,51.34,17:32.5,Utilities
Trash Pickup,60.88,17:32.5,Utilities
ConEd,114.35,17:32.5,Utilities
Internet Bill #6195,199.94,17:32.5,Utilities
Hotel,134.01,17:32.5,Travel
Dentist,36.1,17:32.5,Health
Costco #9292,130.94,17:32.5,Groceries
Parking #5221,100.77,17:32.5,Transport
Dentist,99.67,17:32.5,Health
Ticketmaster #6775,73.62,17:32.5,Entertainment
Direct Deposit #7822,3476.73,17:32.5,Salary
Landlord,1868.23,17:32.5,Rent
MTA Subway #4404,154.6,17:32.5,Transport
Whole Foods #1128,155.87,17:32.5,Groceries
Payroll #152,3739.13,17:32.5,Salary
Safeway,41,17:32.5,Groceries
AT&T #5508,130.07,17:32.5,Utilities
Nike,169.56,17:32.5,Shopping
Museum #3667,97.19,17:32.5,Entertainment
Rent Payment #8163,2214.03,17:32.5,Rent
PlayStation #3447,84.94,17:32.5,Entertainment
Shell,94.84,17:32.5,Transport
Electric Co #7916,53.75,17:32.5,Utilities
Employer Inc #5912,2681.12,17:32.5,Salary
Shell,72.66,17:32.5,Transport
Mortgage,1873.14,17:32.5,Rent
Vending Machine,24,17:32.5,Food & Drink
Mortgage #7566,2584.34,17:32.5,Rent
Electric Co,169.96,17:32.5,Utilities
Local Market,156.73,17:32.5,Groceries
Landlord,1814.38,17:32.5,Rent
Nike #6778,130.18,17:32.5,Shopping
Trader Joes #6347,146.84,17:32.5,Groceries
Zara #4999,35.26,17:32.5,Shopping
Employer Inc #5484,4057.06,17:32.5,Salary
Stripe Payout #3428,3291.29,17:32.5,Salary
CVS #1669,80.54,17:32.5,Health
Dentist,114.25,17:32.5,Health
Fruit Stand #770,50.23,17:32.5,Groceries
Pharmacy #8269,47.03,17:32.5,Shopping
H&M #9488,86.74,17:32.5,Shopping
Target #1547,69.1,17:32.5,Shopping
Nike #9964,101.59,17:32.5,Shopping
Mortgage,1961.9,17:32.5,Rent
HOA Fees,2660.48,17:32.5,Rent
Gas Station,60.57,17:32.5,Transport
Netflix Sub #5343,31.37,17:32.5,Entertainment
Landlord,2475.76,17:32.5,Rent
Ticketmaster,15.82,17:32.5,Entertainment
Duty Free,77.57,17:32.5,Travel
Parking #4542,124.53,17:32.5,Transport
Payroll #9746,3520.73,17:32.5,Salary
Amazon,107.85,17:32.5,Shopping
Property Mgmt #1713,2571.6,17:32.5,Rent
Trash Pickup #1405,98.47,17:32.5,Utilities
AT&T #913,49.61,17:32.5,Utilities
MTA Subway,123.11,17:32.5,Transport
Verizon,72.82,17:32.5,Utilities
CVS,64.89,17:32.5,Health
Gym Membership #9746,115.86,17:32.5,Health
Direct Deposit #1610,3090.68,17:32.5,Salary
Target,119.38,17:32.5,Shopping
AMC Theaters #6504,42.8,17:32.5,Entertainment
Pharmacy #3273,146.03,17:32.5,Shopping
Gym Membership,150.49,17:32.5,Health
Amazon,48.71,17:32.5,Shopping
Electric Co,30.26,17:32.5,Utilities
Gas Station #3543,126.2,17:32.5,Transport
Car Rental #4802,173.66,17:32.5,Travel
Upwork #6455,2486.93,17:32.5,Salary
Concert,136.25,17:32.5,Entertainment
Video Game #8922,135.71,17:32.5,Entertainment
Pizza Hut,10.19,17:32.5,Food & Drink
Aldi #5952,18.32,17:32.5,Groceries
Gas Station #7133,105.27,17:32.5,Transport
Pharmacy #493,53.36,17:32.5,Shopping
Zara,141.13,17:32.5,Shopping
Airbnb #3336,165.97,17:32.5,Travel
Bus Fare,194.05,17:32.5,Transport
Vending Machine,41.96,17:32.5,Food & Drink
H&M,187.34,17:32.5,Shopping
Water Bill #4524,188.35,17:32.5,Utilities
Internet Bill,137.38,17:32.5,Utilities
Rent Payment #6636,2807.92,17:32.5,Rent
Duty Free #252,36.19,17:32.5,Travel
Fruit Stand #7140,111.59,17:32.5,Groceries
Chipotle,27.77,17:32.5,Food & Drink
Verizon,173.31,17:32.5,Utilities
Hospital #4191,133.05,17:32.5,Health
H&M,117.34,17:32.5,Shopping
Target,21.71,17:32.5,Shopping
Stripe Payout #8265,4968.06,17:32.5,Salary
Apple Store #774,192.86,17:32.5,Shopping
Video Game,94.83,17:32.5,Entertainment
Apple Store #1354,63.46,17:32.5,Shopping
Expedia #6372,154.38,17:32.5,Travel
Burger King,21.32,17:32.5,Food & Drink
Whole Foods,77.07,17:32.5,Groceries
Safeway,109.31,17:32.5,Groceries
Gym Membership,128.69,17:32.5,Health
Nike #1281,107.78,17:32.5,Shopping
Payroll #8381,4894.99,17:32.5,Salary
Car Rental,72.4,17:32.5,Travel
Bus Fare #2139,73.35,17:32.5,Transport
Safeway #8354,164.84,17:32.5,Groceries
United,74.73,17:32.5,Travel
Dentist,21.89,17:32.5,Health
Local Market,137.08,17:32.5,Groceries
Planet Fitness,32.39,17:32.5,Health
Safeway #8400,44.27,17:32.5,Groceries
Exxon,94.34,17:32.5,Transport
Sushi Place,23.87,17:32.5,Food & Drink
Fruit Stand #1594,61.66,17:32.5,Groceries
Gym Membership,142.91,17:32.5,Health
Mortgage #4812,1799.92,17:32.5,Rent
Fruit Stand #3817,79.16,17:32.5,Groceries
Spotify #6719,45.92,17:32.5,Utilities
Bookstore #2992,117.02,17:32.5,Shopping
Airbnb #3937,66.78,17:32.5,Travel
Spotify Premium #6666,99.45,17:32.5,Entertainment
Payroll,3832.39,17:32.5,Salary
H&M,75,17:32.5,Shopping
Internet Bill,21.86,17:32.5,Utilities
Rent Payment #1910,2657.68,17:32.5,Rent
Butcher,168.06,17:32.5,Groceries
Vitamin Shop #2655,178.49,17:32.5,Health
Landlord #8764,1425.2,17:32.5,Rent
Rent Payment,2992.92,17:32.5,Rent
Pizza Hut,47.88,17:32.5,Food & Drink
Walgreens #6676,57.4,17:32.5,Health
Exxon,167.91,17:32.5,Transport
Kroger #6370,117.09,17:32.5,Groceries
Butcher,25.05,17:32.5,Groceries
Starbucks #8835,16.16,17:32.5,Food & Drink
Parking #9008,11.55,17:32.5,Transport
Costco #552,91.41,17:32.5,Groceries
Delta,18.86,17:32.5,Travel
CVS,27.22,17:32.5,Health
PlayStation #8593,16.3,17:32.5,Entertainment
Pharmacy Co-pay #9305,172.36,17:32.5,Health
Kroger,89.97,17:32.5,Groceries
Payroll #2190,2484.74,17:32.5,Salary
Employer Inc #7889,3894.3,17:32.5,Salary
HOA Fees,1038.72,17:32.5,Rent
Walmart,138.8,17:32.5,Shopping
Whole Foods,36.61,17:32.5,Groceries
Pizza Hut #9430,42.3,17:32.5,Food & Drink
Chipotle,48.68,17:32.5,Food & Drink
Electric Co,19.11,17:32.5,Utilities
Internet Bill #5178,168.56,17:32.5,Utilities
Chipotle #9265,32.51,17:32.5,Food & Drink
Museum,198.6,17:32.5,Entertainment
Stripe Payout #6955,4002.76,17:32.5,Salary
Target #153,71.18,17:32.5,Shopping
Target,58.2,17:32.5,Shopping
Doctor Visit,74.98,17:32.5,Health
Duty Free,122.03,17:32.5,Travel
Mortgage,1136.06,17:32.5,Rent
Internet Bill,129.87,17:32.5,Utilities
AT&T #2186,116.49,17:32.5,Utilities
CVS,169.87,17:32.5,Health
Employer Inc #1697,2526.44,17:32.5,Salary
Water Bill,135.88,17:32.5,Utilities
ConEd #3396,40.77,17:32.5,Utilities
Bar XYZ #2843,30.17,17:32.5,Food & Drink
Target,174.84,17:32.5,Shopping
Stripe Payout,3326.29,17:32.5,Salary
Stripe Payout #9618,4355.68,17:32.5,Salary
Apple Store #8124,29.14,17:32.5,Shopping
MTA Subway,54.25,17:32.5,Transport
Employer Inc #339,4401.77,17:32.5,Salary
Property Mgmt #9196,2209.57,17:32.5,Rent
PlayStation,108.62,17:32.5,Entertainment
Direct Deposit #8378,4680.22,17:32.5,Salary
Ticketmaster #242,171.2,17:32.5,Entertainment
Yoga Class,24.08,17:32.5,Health
Whole Foods #605,154.9,17:32.5,Groceries
Hospital #4629,172.26,17:32.5,Health
Mortgage,2269.38,17:32.5,Rent
Amtrak #7670,181.45,17:32.5,Travel
Upwork,4727,17:32.5,Salary
Costco,97.59,17:32.5,Groceries
Spotify Premium #3857,64.84,17:32.5,Entertainment
Safeway,103.51,17:32.5,Groceries
Water Bill,37.58,17:32.5,Utilities
Amazon,179.78,17:32.5,Shopping
Uber,78.98,17:32.5,Transport
Lime Scooter,47.37,17:32.5,Transport
PlayStation,33.33,17:32.5,Entertainment
Expedia #5479,164.73,17:32.5,Travel
Employer Inc #3199,4796.3,17:32.5,Salary
